Epiry,Registration,Updated,Blacklisted,ServerLocation,BL_Score,PageRank,HTTPS,Cert_recieved,Cert_chain,Cert_hostname,Phishing
0.9980200016481925,0.9876137053404668,0.9999952477875357,0.0,0.0,0.75,0.6,1.0,1.0,1.0,1.0,0
0.9965121961563816,0.9885700385493515,0.9999501017691249,1.0,0.0,1.0,0.6,1.0,1.0,1.0,1.0,0
0.9955654460239869,0.9876187050637495,0.9999943072454854,1.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,0
0.996038525538634,0.989579141114863,0.9994697817947393,1.0,0.0,0.0,0.6,1.0,1.0,0.0,1.0,0
0.9960595096986965,0.9900952511638217,0.9994942853902584,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0
0.9960343878169317,0.9935351597867009,0.9960295759882981,1.0,0.0,0.0,0.6,1.0,1.0,0.0,1.0,0
0.995527369132606,0.9880753629576343,0.9999951982853226,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,0
0.9955609142335509,0.987614200362574,0.9999847533183437,0.0,0.0,0.0,0.6,1.0,1.0,0.0,1.0,0
0.9955315068543084,0.9895646369671223,0.9999952477875357,0.0,0.14285714285714285,0.0,0.6,1.0,1.0,1.0,1.0,0
0.9970041417116484,0.9895594887372076,0.9994799792506524,0.0,0.0,0.0,0.7,1.0,1.0,1.0,1.0,0
0.9955367282650281,0.9875897462704787,0.9999951982853226,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,0
0.9965456919987349,0.9886037990570621,0.9999848523227701,0.0,0.0,0.0,0.6,1.0,1.0,0.0,1.0,0
0.9955322949917755,0.9875852910715139,0.9994954239411613,0.0,0.0,0.5,0.7,1.0,1.0,0.0,1.0,0
0.9974918017694375,0.9935147153736739,0.9999951982853226,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,0
0.9960188221019557,0.9880742244067878,0.9999952477875357,0.0,0.0,0.9166666666666666,0.7,1.0,1.0,0.0,1.0,0
0.9975410603611334,0.9890645656344367,0.9999897035396607,0.0,0.0,0.9166666666666666,0.6,1.0,1.0,1.0,1.0,0
0.9960241912884505,0.9875845980405639,0.9999951982853226,0.0,0.0,0.9166666666666666,0.6,1.0,1.0,1.0,1.0,0
0.9955318516644502,0.9895649834825974,0.9999604972338906,0.0,0.0,0.9166666666666666,0.6,0.0,0.0,0.0,0.0,0
0.9955469740521009,0.9890852080563066,0.9999756944133337,0.0,0.0,0.9166666666666666,0.6,1.0,1.0,0.0,1.0,0
0.9965263826307901,0.9910594552242109,0.9989752546851741,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0
0.9960290186304368,0.9905700268668298,0.9999951487831094,0.0,0.0,0.9166666666666666,0.6,1.0,1.0,1.0,1.0,0
0.9994626872817813,0.9875749451094736,0.9995053738860084,0.0,0.0,0.9166666666666666,0.7,1.0,1.0,0.0,1.0,0
0.9955463336904089,0.9925496697757025,0.9995106211206044,0.0,0.0,0.9166666666666666,0.6,1.0,1.0,1.0,1.0,0
0.9955359401275611,0.9885789984494917,0.9999951982853226,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0
0.9970045850389736,0.9945101553290269,0.9999701501654586,0.0,0.0,0.0,0.8,1.0,1.0,0.0,1.0,0
0.9955419496757479,0.9955153967221022,0.9999549034838024,0.0,0.0,0.9166666666666666,0.7,1.0,1.0,1.0,1.0,0
0.9965512089610048,0.9871242769830858,0.9999943567476987,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0
0.995566234161454,0.9881145192063132,0.9999952477875357,0.0,0.0,0.0,0.6,1.0,1.0,1.0,1.0,0
0.9965068269698868,0.9959900239184781,0.9960295759882981,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0
0.9960594604401048,0.9886101848422448,0.999954804479376,0.0,0.0,0.9166666666666666,0.7,0.0,0.0,0.0,0.0,0
0.9970048805905238,0.992530363913522,0.9990093617100481,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0
0.9955556435642394,0.987608903626027,0.9999794565815345,0.0,0.0,0.9166666666666666,0.8,1.0,1.0,1.0,1.0,0
0.9960238464783087,0.9910494557776456,0.9994702768168711,0.0,0.0,0.9166666666666666,0.6,1.0,1.0,1.0,1.0,0
0.9955262361849969,0.9920344507665367,0.999500275158052,0.0,0.0,0.9166666666666666,0.8,1.0,1.0,1.0,1.0,0
0.9955372208509451,0.9876090521326591,0.9999951982853226,0.0,0.0,0.9166666666666666,0.7,1.0,1.0,0.0,1.0,0
0.9979948797664275,0.9880799666632312,0.9980155552784532,0.0,0.0,0.9166666666666666,0.5,1.0,1.0,1.0,1.0,0
0.9955518506526788,0.992555214023303,0.9999798525992399,0.0,0.0,0.9166666666666666,0.5,0.0,0.0,0.0,0.0,0
0.9960643370406828,0.9954994570102507,0.9994996811314939,0.0,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0
0.9960292649233953,0.987589696768268,0.9984709261374012,0.0,0.0,0.0,0.6,1.0,1.0,0.0,1.0,0
0.9955606186820006,0.997514246488734,0.9999894560285949,0.0,0.0,0.16666666666666666,0.6,1.0,1.0,0.0,1.0,0
0.9990247291430133,0.9871349199583904,0.9994601288631713,0.0,0.0,0.9166666666666666,0.5,1.0,1.0,0.0,1.0,0
0.9965371702623714,0.9876051909602231,0.9994750785315485,0.0,0.0,0.9166666666666666,0.6,1.0,1.0,0.0,1.0,0
0.9999701492934323,0.9880849168843031,0.9999655959618471,0.0,0.0,0.9166666666666666,0.6,1.0,1.0,0.0,1.0,0
